"","Question","Min","Max","Mean","SD","Count","Story"
"810","How Original is this story?","50","50","50","0","1","C24"
"811","How Clever is this story?","37","37","37","0","1","C24"
"812","How Imaginative is this story?","42","42","42","0","1","C24"
"813","How Captivating is this story?","40","40","40","0","1","C24"
"814","How Humorous is this story?","40","40","40","0","1","C24"
"815","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","51","51","51","0","1","C24"
"816","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","50","50","50","0","1","C24"
"817","How Creative is this story?","11","11","11","0","1","C25"
"818","How Original is this story?","10","10","10","0","1","C25"
"819","How Clever is this story?","15","15","15","0","1","C25"
"820","How Imaginative is this story?","16","16","16","0","1","C25"
"821","How Captivating is this story?","15","15","15","0","1","C25"
"822","How Humorous is this story?","10","10","10","0","1","C25"
"823","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","51","51","51","0","1","C25"
"824","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","51","51","51","0","1","C25"
"825","How Creative is this story?","0","19","7","8.52","3","C26"
"826","How Original is this story?","0","19","6.67","8.73","3","C26"
"827","How Clever is this story?","0","19","7","8.52","3","C26"
"828","How Imaginative is this story?","0","19","6.67","8.73","3","C26"
"829","How Captivating is this story?","2","19","7.67","8.01","3","C26"
"830","How Humorous is this story?","0","19","6.33","8.96","3","C26"
"831","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","29","9.67","13.67","3","C26"
"832","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","29","10.67","13.02","3","C26"
"833","How Creative is this story?","1","1","1","0","1","C27"
"834","How Original is this story?","1","1","1","0","1","C27"
"835","How Clever is this story?","1","1","1","0","1","C27"
"836","How Imaginative is this story?","2","2","2","0","1","C27"
"837","How Captivating is this story?","1","1","1","0","1","C27"
"838","How Humorous is this story?","1","1","1","0","1","C27"
"839","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","1","1","0","1","C27"
"840","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","1","1","0","1","C27"
"841","How Creative is this story?","20","50","35","15","2","C28"
"842","How Original is this story?","20","50","35","15","2","C28"
"843","How Clever is this story?","35","62","48.5","13.5","2","C28"
"844","How Imaginative is this story?","33","50","41.5","8.5","2","C28"
"845","How Captivating is this story?","21","39","30","9","2","C28"
"846","How Humorous is this story?","0","34","17","17","2","C28"
"847","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","30","50","40","10","2","C28"
"848","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","30","50","40","10","2","C28"
"849","How Creative is this story?","11","11","11","0","1","C29"
"850","How Original is this story?","3","3","3","0","1","C29"
"851","How Clever is this story?","9","9","9","0","1","C29"
"852","How Imaginative is this story?","12","12","12","0","1","C29"
"853","How Captivating is this story?","4","4","4","0","1","C29"
"854","How Humorous is this story?","1","1","1","0","1","C29"
"855","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","3","3","3","0","1","C29"
"856","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","3","3","3","0","1","C29"
"857","How Creative is this story?","2","37","19.5","17.5","2","C30"
"858","How Original is this story?","2","18","10","8","2","C30"
"859","How Clever is this story?","1","39","20","19","2","C30"
"860","How Imaginative is this story?","41","44","42.5","1.5","2","C30"
"861","How Captivating is this story?","3","49","26","23","2","C30"
"862","How Humorous is this story?","3","21","12","9","2","C30"
"863","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","8","52","30","22","2","C30"
"864","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","19","47","33","14","2","C30"
"865","How Creative is this story?","8","8","8","0","1","C31"
"866","How Original is this story?","27","27","27","0","1","C31"
"867","How Clever is this story?","15","15","15","0","1","C31"
"868","How Imaginative is this story?","26","26","26","0","1","C31"
"869","How Captivating is this story?","52","52","52","0","1","C31"
"870","How Humorous is this story?","2","2","2","0","1","C31"
"871","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","63","63","63","0","1","C31"
"872","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","59","59","59","0","1","C31"
"873","How Creative is this story?","0","2","1","1","2","C32"
"874","How Original is this story?","0","2","1","1","2","C32"
"875","How Clever is this story?","0","1","0.5","0.5","2","C32"
"876","How Imaginative is this story?","0","1","0.5","0.5","2","C32"
"877","How Captivating is this story?","0","2","1","1","2","C32"
"878","How Humorous is this story?","0","1","0.5","0.5","2","C32"
"879","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","1","1","0","2","C32"
"880","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","2","1.5","0.5","2","C32"
"881","How Creative is this story?","49","64","56.5","7.5","2","C33"
"882","How Original is this story?","62","68","65","3","2","C33"
"883","How Clever is this story?","62","68","65","3","2","C33"
"884","How Imaginative is this story?","61","67","64","3","2","C33"
"885","How Captivating is this story?","36","71","53.5","17.5","2","C33"
"886","How Humorous is this story?","0","24","12","12","2","C33"
"887","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","68","71","69.5","1.5","2","C33"
"888","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","65","79","72","7","2","C33"
"889","How Creative is this story?","0","1","0.5","0.5","2","C34"
"890","How Original is this story?","0","1","0.5","0.5","2","C34"
"891","How Clever is this story?","0","1","0.5","0.5","2","C34"
"892","How Imaginative is this story?","0","1","0.5","0.5","2","C34"
"893","How Captivating is this story?","0","1","0.5","0.5","2","C34"
"894","How Humorous is this story?","0","1","0.5","0.5","2","C34"
"895","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","51","26","25","2","C34"
"896","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","50","25.5","24.5","2","C34"
"897","How Creative is this story?","45","61","53","8","2","C35"
"898","How Original is this story?","52","61","56.5","4.5","2","C35"
"899","How Clever is this story?","45","62","53.5","8.5","2","C35"
"900","How Imaginative is this story?","61","65","63","2","2","C35"
"901","How Captivating is this story?","41","47","44","3","2","C35"
"902","How Humorous is this story?","9","44","26.5","17.5","2","C35"
"903","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","49","60","54.5","5.5","2","C35"
"904","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","49","60","54.5","5.5","2","C35"
"905","How Creative is this story?","0","61","30.5","30.5","2","C36"
"906","How Original is this story?","0","98","49","49","2","C36"
"907","How Clever is this story?","0","83","41.5","41.5","2","C36"
"908","How Imaginative is this story?","61","91","76","15","2","C36"
"909","How Captivating is this story?","0","61","30.5","30.5","2","C36"
"910","How Humorous is this story?","0","30","15","15","2","C36"
"911","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","29","85","57","28","2","C36"
"912","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","29","79","54","25","2","C36"
"913","How Creative is this story?","0","28","16.33","11.9","3","C37"
"914","How Original is this story?","0","26","15.67","11.26","3","C37"
"915","How Clever is this story?","0","22","14","9.93","3","C37"
"916","How Imaginative is this story?","0","27","17.33","12.28","3","C37"
"917","How Captivating is this story?","0","31","19.33","13.77","3","C37"
"918","How Humorous is this story?","0","22","14.67","10.37","3","C37"
"919","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","26","16.33","11.61","3","C37"
"920","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","24","15","10.68","3","C37"
"921","How Creative is this story?","0","70","35","35","2","C38"
"922","How Original is this story?","0","69","34.5","34.5","2","C38"
"923","How Clever is this story?","10","69","39.5","29.5","2","C38"
"924","How Imaginative is this story?","9","70","39.5","30.5","2","C38"
"925","How Captivating is this story?","10","81","45.5","35.5","2","C38"
"926","How Humorous is this story?","0","10","5","5","2","C38"
"927","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","61","30.5","30.5","2","C38"
"928","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","61","30.5","30.5","2","C38"
"929","How Creative is this story?","0","62","24.33","27.01","3","C39"
"930","How Original is this story?","0","47","19.67","19.94","3","C39"
"931","How Clever is this story?","0","46","17.33","20.42","3","C39"
"932","How Imaginative is this story?","0","40","17.33","16.76","3","C39"
"933","How Captivating is this story?","0","46","19","19.61","3","C39"
"934","How Humorous is this story?","0","17","9","6.98","3","C39"
"935","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","68","28.67","28.77","3","C39"
"936","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","56","31","23.25","3","C39"
"937","How Creative is this story?","41","55","49","5.89","3","C41"
"938","How Original is this story?","48","54","51","2.45","3","C41"
"939","How Clever is this story?","17","58","41.67","17.75","3","C41"
"940","How Imaginative is this story?","43","52","47.67","3.68","3","C41"
"941","How Captivating is this story?","52","54","53","0.82","3","C41"
"942","How Humorous is this story?","1","34","14.33","14.2","3","C41"
"943","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","50","71","57.33","9.67","3","C41"
"944","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","31","86","59.33","22.48","3","C41"
"945","How Creative is this story?","0","33","16.5","16.5","2","C43"
"946","How Original is this story?","0","29","14.5","14.5","2","C43"
"947","How Clever is this story?","0","24","12","12","2","C43"
"948","How Imaginative is this story?","0","42","21","21","2","C43"
"949","How Captivating is this story?","0","47","23.5","23.5","2","C43"
"950","How Humorous is this story?","0","24","12","12","2","C43"
"951","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","42","51","46.5","4.5","2","C43"
"952","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","50","50","50","0","2","C43"
"953","How Creative is this story?","0","3","1.33","1.25","3","C44"
"954","How Original is this story?","0","32","11","14.85","3","C44"
"955","How Clever is this story?","0","4","1.67","1.7","3","C44"
"956","How Imaginative is this story?","0","4","2.33","1.7","3","C44"
"957","How Captivating is this story?","0","4","1.67","1.7","3","C44"
"958","How Humorous is this story?","0","4","1.67","1.7","3","C44"
"959","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","20","29","25","3.74","3","C44"
"960","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","28","14.33","11.44","3","C44"
"961","How Creative is this story?","1","24","9","10.61","3","C45"
"962","How Original is this story?","1","15","6","6.38","3","C45"
"963","How Clever is this story?","1","26","9.67","11.56","3","C45"
"964","How Imaginative is this story?","1","30","11","13.44","3","C45"
"965","How Captivating is this story?","1","14","6","5.72","3","C45"
"966","How Humorous is this story?","3","14","8.33","4.5","3","C45"
"967","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","3","1.67","0.94","3","C45"
"968","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","10","4.33","4.03","3","C45"
"969","How Creative is this story?","1","78","50.67","35.18","3","C46"
"970","How Original is this story?","10","76","47.33","27.63","3","C46"
"971","How Clever is this story?","1","69","39.33","28.43","3","C46"
"972","How Imaginative is this story?","10","85","57","33.44","3","C46"
"973","How Captivating is this story?","1","93","56.67","39.97","3","C46"
"974","How Humorous is this story?","1","20","10","7.79","3","C46"
"975","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","58","32","23.54","3","C46"
"976","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","68","33.67","27.38","3","C46"
"977","How Creative is this story?","1","14","9.33","5.91","3","C47"
"978","How Original is this story?","1","54","19.33","24.53","3","C47"
"979","How Clever is this story?","1","14","6.33","5.56","3","C47"
"980","How Imaginative is this story?","1","16","10","6.48","3","C47"
"981","How Captivating is this story?","1","14","9.33","5.91","3","C47"
"982","How Humorous is this story?","1","13","5.67","5.25","3","C47"
"983","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","20","51","38","13.14","3","C47"
"984","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","25","49","37","9.8","3","C47"
"985","How Creative is this story?","0","3","1","1.41","3","C48"
"986","How Original is this story?","0","9","4.33","3.68","3","C48"
"987","How Clever is this story?","0","2","0.67","0.94","3","C48"
"988","How Imaginative is this story?","0","3","1","1.41","3","C48"
"989","How Captivating is this story?","0","4","1.33","1.89","3","C48"
"990","How Humorous is this story?","0","9","3","4.24","3","C48"
"991","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","51","18","23.37","3","C48"
"992","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","51","18","23.37","3","C48"
"993","How Creative is this story?","7","44","22","15.9","3","C49"
"994","How Original is this story?","12","47","24.67","15.84","3","C49"
"995","How Clever is this story?","15","69","34","24.78","3","C49"
"996","How Imaginative is this story?","2","60","25.67","24.85","3","C49"
"997","How Captivating is this story?","15","62","32.33","21.08","3","C49"
"998","How Humorous is this story?","0","24","13","9.9","3","C49"
"999","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","17","61","42.67","18.7","3","C49"
"1000","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","20","69","46.33","20.17","3","C49"
"1001","How Creative is this story?","32","61","42.33","13.22","3","C50"
"1002","How Original is this story?","15","63","32.33","21.75","3","C50"
"1003","How Clever is this story?","3","56","36.67","23.89","3","C50"
"1004","How Imaginative is this story?","21","75","51.33","22.54","3","C50"
"1005","How Captivating is this story?","22","71","52","21.46","3","C50"
"1006","How Humorous is this story?","0","12","5","5.1","3","C50"
"1007","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","24","52","42.33","12.97","3","C50"
"1008","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","27","53","43.33","11.61","3","C50"
"1009","How Creative is this story?","24","77","47.33","22.1","3","C51"
"1010","How Original is this story?","5","51","35","21.23","3","C51"
"1011","How Clever is this story?","14","48","34","14.51","3","C51"
"1012","How Imaginative is this story?","17","62","39.33","18.37","3","C51"
"1013","How Captivating is this story?","16","68","46","21.97","3","C51"
"1014","How Humorous is this story?","1","20","7.33","8.96","3","C51"
"1015","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","12","82","53.67","30.09","3","C51"
"1016","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","14","83","51.33","28.45","3","C51"
"1017","How Creative is this story?","11","19","13.67","3.77","3","C52"
"1018","How Original is this story?","10","21","14.33","4.78","3","C52"
"1019","How Clever is this story?","10","33","24","10.03","3","C52"
"1020","How Imaginative is this story?","10","23","17.33","5.44","3","C52"
"1021","How Captivating is this story?","10","17","12.67","3.09","3","C52"
"1022","How Humorous is this story?","10","18","13.33","3.4","3","C52"
"1023","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","21","51","34.33","12.47","3","C52"
"1024","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","20","53","32.33","14.7","3","C52"
"1025","How Creative is this story?","1","37","13.33","16.74","3","C53"
"1026","How Original is this story?","1","47","16.33","21.68","3","C53"
"1027","How Clever is this story?","1","38","14","16.99","3","C53"
"1028","How Imaginative is this story?","1","31","11","14.14","3","C53"
"1029","How Captivating is this story?","1","29","10.33","13.2","3","C53"
"1030","How Humorous is this story?","1","53","18.33","24.51","3","C53"
"1031","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","66","39","27.65","3","C53"
"1032","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","61","37.33","26.08","3","C53"
"1033","How Creative is this story?","19","62","36.67","18.37","3","C54"
"1034","How Original is this story?","24","61","47.33","16.58","3","C54"
"1035","How Clever is this story?","19","42","29.67","9.46","3","C54"
"1036","How Imaginative is this story?","12","61","33.33","20.5","3","C54"
"1037","How Captivating is this story?","15","29","24","6.38","3","C54"
"1038","How Humorous is this story?","1","79","30","34.84","3","C54"
"1039","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","19","50","29.67","14.38","3","C54"
"1040","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","5","50","23.33","19.29","3","C54"
"1041","How Creative is this story?","1","55","23.67","22.88","3","C55"
"1042","How Original is this story?","1","61","26","25.5","3","C55"
"1043","How Clever is this story?","1","63","26.67","26.41","3","C55"
"1044","How Imaginative is this story?","1","62","26.33","25.95","3","C55"
"1045","How Captivating is this story?","1","53","23.33","21.85","3","C55"
"1046","How Humorous is this story?","1","16","8.33","6.13","3","C55"
"1047","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","72","29","30.87","3","C55"
"1048","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","81","32","35.05","3","C55"
"1049","How Creative is this story?","0","15","5.33","6.85","3","C56"
"1050","How Original is this story?","0","15","5.33","6.85","3","C56"
"1051","How Clever is this story?","1","27","9.67","12.26","3","C56"
"1052","How Imaginative is this story?","0","11","4","4.97","3","C56"
"1053","How Captivating is this story?","0","13","5","5.72","3","C56"
"1054","How Humorous is this story?","1","11","4.33","4.71","3","C56"
"1055","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","27","9.33","12.5","3","C56"
"1056","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","13","4.67","5.91","3","C56"
"1057","How Creative is this story?","9","27","18.33","7.36","3","C59"
"1058","How Original is this story?","2","13","9","4.97","3","C59"
"1059","How Clever is this story?","20","36","27.67","6.55","3","C59"
"1060","How Imaginative is this story?","11","33","21.67","8.99","3","C59"
"1061","How Captivating is this story?","5","41","22","14.76","3","C59"
"1062","How Humorous is this story?","2","12","7","4.08","3","C59"
"1063","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","24","16.33","10.84","3","C59"
"1064","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","22","14.33","9.46","3","C59"
"1065","How Creative is this story?","0","24","10.33","10.08","3","C60"
"1066","How Original is this story?","0","22","9.33","9.29","3","C60"
"1067","How Clever is this story?","0","14","5","6.38","3","C60"
"1068","How Imaginative is this story?","0","18","9","7.35","3","C60"
"1069","How Captivating is this story?","0","26","9","12.03","3","C60"
"1070","How Humorous is this story?","0","17","6","7.79","3","C60"
"1071","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","30","14.33","12.28","3","C60"
"1072","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","19","12","8.52","3","C60"
"1073","How Creative is this story?","1","20","11.33","7.85","3","C61"
"1074","How Original is this story?","1","76","31","32.4","3","C61"
"1075","How Clever is this story?","1","26","13.67","10.21","3","C61"
"1076","How Imaginative is this story?","1","32","15.67","12.71","3","C61"
"1077","How Captivating is this story?","1","25","14.67","10.08","3","C61"
"1078","How Humorous is this story?","1","100","39.33","43.39","3","C61"
"1079","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","65","35","26.28","3","C61"
"1080","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","54","31.33","22.31","3","C61"
"1081","How Creative is this story?","0","8","4","4","2","C62"
"1082","How Original is this story?","0","1","0.5","0.5","2","C62"
"1083","How Clever is this story?","0","1","0.5","0.5","2","C62"
"1084","How Imaginative is this story?","5","31","18","13","2","C62"
"1085","How Captivating is this story?","1","100","50.5","49.5","2","C62"
"1086","How Humorous is this story?","0","0","0","0","2","C62"
"1087","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","51","26","25","2","C62"
"1088","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","50","25.5","24.5","2","C62"
"1089","How Creative is this story?","0","3","1.67","1.25","3","C63"
"1090","How Original is this story?","1","2","1.33","0.47","3","C63"
"1091","How Clever is this story?","0","4","2","1.63","3","C63"
"1092","How Imaginative is this story?","0","4","2","1.63","3","C63"
"1093","How Captivating is this story?","0","2","0.67","0.94","3","C63"
"1094","How Humorous is this story?","0","2","0.67","0.94","3","C63"
"1095","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","7","71","42.67","26.64","3","C63"
"1096","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","3","69","40.67","27.74","3","C63"
"1097","How Creative is this story?","1","12","5.67","4.64","3","C64"
"1098","How Original is this story?","0","13","4.67","5.91","3","C64"
"1099","How Clever is this story?","1","13","5.33","5.44","3","C64"
"1100","How Imaginative is this story?","1","13","5.33","5.44","3","C64"
"1101","How Captivating is this story?","1","13","6.33","4.99","3","C64"
"1102","How Humorous is this story?","1","14","6","5.72","3","C64"
"1103","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","9","20","14","4.55","3","C64"
"1104","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","20","10.67","8.22","3","C64"
"1105","How Creative is this story?","0","19","11.33","8.18","3","C65"
"1106","How Original is this story?","0","19","11.33","8.18","3","C65"
"1107","How Clever is this story?","0","19","11.33","8.18","3","C65"
"1108","How Imaginative is this story?","0","49","23","20.12","3","C65"
"1109","How Captivating is this story?","0","18","11","7.87","3","C65"
"1110","How Humorous is this story?","0","19","6.67","8.73","3","C65"
"1111","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","48","51","49.33","1.25","3","C65"
"1112","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","47","50","49","1.41","3","C65"
"1113","How Creative is this story?","28","60","40","14.24","3","C66"
"1114","How Original is this story?","27","42","36.33","6.65","3","C66"
"1115","How Clever is this story?","8","51","28.67","17.59","3","C66"
"1116","How Imaginative is this story?","14","54","32","16.57","3","C66"
"1117","How Captivating is this story?","7","62","32.33","22.66","3","C66"
"1118","How Humorous is this story?","3","9","6.33","2.49","3","C66"
"1119","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","19","50","36","12.83","3","C66"
"1120","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","9","50","32.67","17.33","3","C66"
"1121","How Creative is this story?","0","1","0.5","0.5","2","C67"
"1122","How Original is this story?","1","8","4.5","3.5","2","C67"
"1123","How Clever is this story?","0","1","0.5","0.5","2","C67"
"1124","How Imaginative is this story?","1","8","4.5","3.5","2","C67"
"1125","How Captivating is this story?","1","1","1","0","2","C67"
"1126","How Humorous is this story?","0","1","0.5","0.5","2","C67"
"1127","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","1","1","0","2","C67"
"1128","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","1","1","0","2","C67"
"1129","How Creative is this story?","20","82","55.33","26.04","3","C68"
"1130","How Original is this story?","9","82","51.33","30.92","3","C68"
"1131","How Clever is this story?","30","83","55","21.74","3","C68"
"1132","How Imaginative is this story?","11","82","52.33","30.14","3","C68"
"1133","How Captivating is this story?","21","81","51.33","24.5","3","C68"
"1134","How Humorous is this story?","0","4","1.67","1.7","3","C68"
"1135","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","50","81","64.67","12.71","3","C68"
"1136","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","29","51","40.33","8.99","3","C68"
"1137","How Creative is this story?","3","48","25.33","18.37","3","C70"
"1138","How Original is this story?","3","31","20.33","12.36","3","C70"
"1139","How Clever is this story?","3","48","25.33","18.37","3","C70"
"1140","How Imaginative is this story?","1","28","18.67","12.5","3","C70"
"1141","How Captivating is this story?","1","36","20.67","14.61","3","C70"
"1142","How Humorous is this story?","2","43","23.67","16.82","3","C70"
"1143","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","2","50","27.33","19.69","3","C70"
"1144","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","43","25.33","17.78","3","C70"
"1145","How Creative is this story?","37","72","51.67","14.84","3","C71"
"1146","How Original is this story?","27","73","50","18.78","3","C71"
"1147","How Clever is this story?","28","71","48.67","17.59","3","C71"
"1148","How Imaginative is this story?","24","70","51","19.61","3","C71"
"1149","How Captivating is this story?","19","70","48.33","21.51","3","C71"
"1150","How Humorous is this story?","1","39","20.33","15.52","3","C71"
"1151","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","32","84","55","21.65","3","C71"
"1152","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","35","65","50","12.25","3","C71"
"1153","How Creative is this story?","0","5","2","2.16","3","C72"
"1154","How Original is this story?","0","3","1.33","1.25","3","C72"
"1155","How Clever is this story?","1","3","2.33","0.94","3","C72"
"1156","How Imaginative is this story?","0","11","4","4.97","3","C72"
"1157","How Captivating is this story?","0","19","6.67","8.73","3","C72"
"1158","How Humorous is this story?","0","8","3","3.56","3","C72"
"1159","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","11","7","4.32","3","C72"
"1160","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","10","5.67","3.68","3","C72"
"1161","How Creative is this story?","1","21","10.25","7.53","4","C73"
"1162","How Original is this story?","1","15","9.5","5.59","4","C73"
"1163","How Clever is this story?","0","16","7.75","7.76","4","C73"
"1164","How Imaginative is this story?","5","15","9.5","4.15","4","C73"
"1165","How Captivating is this story?","0","11","6.5","4.39","4","C73"
"1166","How Humorous is this story?","0","12","5.5","4.77","4","C73"
"1167","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","2","14","6.75","4.55","4","C73"
"1168","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","2","34","12.75","12.87","4","C73"
"1169","How Creative is this story?","0","15","8.67","6.34","3","C74"
"1170","How Original is this story?","0","58","20.33","26.66","3","C74"
"1171","How Clever is this story?","0","12","4.67","5.25","3","C74"
"1172","How Imaginative is this story?","0","14","8.33","6.02","3","C74"
"1173","How Captivating is this story?","0","9","3.67","3.86","3","C74"
"1174","How Humorous is this story?","0","8","2.67","3.77","3","C74"
"1175","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","46","25.33","19.07","3","C74"
"1176","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","0","60","25.67","25.25","3","C74"
"1177","How Creative is this story?","1","17","6.33","7.54","3","C75"
"1178","How Original is this story?","2","11","7.67","4.03","3","C75"
"1179","How Clever is this story?","0","2","1","0.82","3","C75"
"1180","How Imaginative is this story?","2","11","7.67","4.03","3","C75"
"1181","How Captivating is this story?","1","14","8","5.35","3","C75"
"1182","How Humorous is this story?","0","2","1","0.82","3","C75"
"1183","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","0","42","17","18.06","3","C75"
"1184","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","40","17","16.67","3","C75"
"1185","How Creative is this story?","0","61","22","27.65","3","C76"
"1186","How Original is this story?","0","67","23.33","30.9","3","C76"
"1187","How Clever is this story?","0","68","24.67","30.74","3","C76"
"1188","How Imaginative is this story?","0","71","24.67","32.79","3","C76"
"1189","How Captivating is this story?","0","72","25","33.26","3","C76"
"1190","How Humorous is this story?","0","53","17.67","24.98","3","C76"
"1191","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","42","71","54.33","12.23","3","C76"
"1192","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","50","83","68.33","13.72","3","C76"
"1193","How Creative is this story?","0","6","2.67","2.49","3","C77"
"1194","How Original is this story?","2","24","10.67","9.57","3","C77"
"1195","How Clever is this story?","0","7","3","2.94","3","C77"
"1196","How Imaginative is this story?","0","38","13.33","17.46","3","C77"
"1197","How Captivating is this story?","0","9","3.67","3.86","3","C77"
"1198","How Humorous is this story?","0","12","4.33","5.44","3","C77"
"1199","How attractive would you rate the author of this story as someone you would have a casual, romantic relationship with?","1","51","27.67","20.55","3","C77"
"1200","How attractive would you rate the author of this story as someone you would have a long-term, romantic relationship with?","1","50","27","20.12","3","C77"
"1201","How Creative is this story?","0","27","9.33","12.5","3","C78"
"1202","How Original is this story?","0","29","10","13.44","3","C78"
"1203","How Clever is this story?","0","24","8.33","11.09","3","C78"
